Date;Time;G;Tournament;Map;Mode;Opponent;;Vs. Opponent;VOD;Civ1;Civ2;Win;Mirror;Civ List;Picks;Wins;Win Rate;CDPS Score;Coast to Mountain;Total matches;217
13/12/2024;18:30 UTC;[Age of Empires II];T90 Titans League 4: Silver League [T90 Titans League/4/Silver League];Coast to Mountain [Coast to Mountain];1v1;Andre_2i [Andre 2i (page does not exist)] [Romania] [Romania] [Malians] [Malians];<;Prisma09 [Georgians] [Georgians] [Argentina] [Argentina] [Prisma09];;Malians;Georgians;Georgians;FALSE;;;;;;Coast to Mountain;;
13/12/2024;17:00 UTC;[Age of Empires II];T90 Titans League 4: Silver League [T90 Titans League/4/Silver League];Coast to Mountain [Coast to Mountain];1v1;StonePleaseAoE [StonePleaseAoE] [Germany] [Germany] [Japanese] [Japanese];>;Uzzi [Berbers] [Berbers] [Mexico] [Mexico] [Uzzi];;Japanese;Berbers;Japanese;FALSE;;;;;;Coast to Mountain;;
13/12/2024;15:00 UTC;[Age of Empires II];T90 Titans League 4: Silver League [T90 Titans League/4/Silver League];Coast to Mountain [Coast to Mountain];1v1;The Illusionist [The Illusionist] [Slovakia] [Slovakia] [Malians] [Malians];<;iBUYPOWER [Persians] [Persians] [China] [China] [IBUYPOWER];;Malians;Persians;Persians;FALSE;;;;;;Coast to Mountain;;
13/12/2024;14:00 UTC;[Age of Empires II];T90 Titans League 4: Silver League [T90 Titans League/4/Silver League];Coast to Mountain [Coast to Mountain];1v1;GoKu [GoKu] [Brazil] [Brazil] [Cumans] [Cumans];>;Ciskhan [Lithuanians] [Lithuanians] [France] [France] [Ciskhan];;Cumans;Lithuanians;Cumans;FALSE;;;;;;Coast to Mountain;;
12/12/2024;16:00 UTC;[Age of Empires II];T90 Titans League 4: Silver League [T90 Titans League/4/Silver League];Coast to Mountain [Coast to Mountain];1v1;GUKI [GUKI] [Mexico] [Mexico] [Portuguese] [Portuguese];>;Thành C? Qu?ng Tr? [Vietnamese] [Vietnamese] [Vietnam] [Vietnam] [Thành C? Qu?ng Tr?];;Portuguese;Vietnamese;Portuguese;FALSE;;;;;;Coast to Mountain;;
11/12/2024;20:00 UTC;[Age of Empires II];T90 Titans League 4: Platinum Replacement Qualifier [T90 Titans League/4/Platinum Replacement Qualifier];Coast to Mountain [Coast to Mountain];1v1;Mihai06 [Mihai06] [Romania] [Romania] [Malians] [Malians];>;Vinchester [Persians] [Persians] [Russia] [Russia] [Vinchester];(G1) [Watch VOD] [Watch VOD];Malians;Persians;Malians;FALSE;;;;;;Coast to Mountain;;
11/12/2024;16:00 UTC;[Age of Empires II];T90 Titans League 4: Silver League [T90 Titans League/4/Silver League];Coast to Mountain [Coast to Mountain];1v1;Terz [Terz] [Germany] [Germany] [Japanese] [Japanese];<;Lewis [Georgians] [Georgians] [United Kingdom] [United Kingdom] [Lewis];;Japanese;Georgians;Georgians;FALSE;;;;;;Coast to Mountain;;
11/12/2024;15:00 UTC;[Age of Empires II];T90 Titans League 4: Platinum Replacement Qualifier [T90 Titans League/4/Platinum Replacement Qualifier];Coast to Mountain [Coast to Mountain];1v1;Kasva [Kasva] [Turkey] [Turkey] [Persians] [Persians];<;Vinchester [Berbers] [Berbers] [Russia] [Russia] [Vinchester];(G2) [Watch VOD] [Watch VOD];Persians;Berbers;Berbers;FALSE;;;;;;Coast to Mountain;;
11/12/2024;14:00 UTC;[Age of Empires II];T90 Titans League 4: Silver League [T90 Titans League/4/Silver League];Coast to Mountain [Coast to Mountain];1v1;DOOMSTER [DOOMSTER] [India] [India] [Japanese] [Japanese];>;Youpudding [Georgians] [Georgians] [Taiwan] [Taiwan] [Youpudding];;Japanese;Georgians;Japanese;FALSE;;;;;;Coast to Mountain;;
10/12/2024;21:00 UTC;[Age of Empires II];T90 Titans League 4: Silver League [T90 Titans League/4/Silver League];Coast to Mountain [Coast to Mountain];1v1;BL4CK [Bl4ck] [Argentina] [Argentina] [Malay] [Malay];<;Lucho [Lithuanians] [Lithuanians] [Argentina] [Argentina] [Lucho];;Malay;Lithuanians;Lithuanians;FALSE;;;;;;Coast to Mountain;;
